ds,yhat,yhat_lower,yhat_upper
2026-01-09,65.29733480521587,55.57581457730219,74.69521587917416
2026-01-10,62.41993687767053,52.13009449557144,72.11131903642305
2026-01-11,63.53609270266429,52.95481054058456,73.06473790653592
2026-01-12,67.44337465087374,57.699343692023476,76.93596808549243
2026-01-13,72.92420200978458,63.36581513901829,81.77780802129178
2026-01-14,72.92281169515269,62.99807063544408,82.24458417596132
2026-01-15,70.3566654645586,61.01353702086508,80.0181082492839
2026-01-16,66.5365203502103,57.26810353740834,75.8100846367271
2026-01-17,63.571611790686376,54.41674197079981,72.87127447951914
2026-01-18,64.4194298662322,55.25967046427614,73.696234337188
2026-01-19,67.96719047247429,58.94737525955429,77.7691029384445
2026-01-20,73.20318043336825,63.399467654029564,83.17115226131428
2026-01-21,73.24440107839906,63.33611133641419,82.92590861734787
2026-01-22,71.04514422974437,61.53378873654974,80.84484240202785
2026-01-23,67.80159937337842,57.3321347166113,78.18941194690946
2026-01-24,65.45873878191894,56.42204219928656,75.03968662466134
2026-01-25,66.85738025605424,56.93920619526445,76.79350538153476
2026-01-26,70.82487976168471,60.596696115355,79.94679057313085
2026-01-27,76.30146844616692,67.04542588536656,86.35923532145904
2026-01-28,76.33305263957757,66.40750067103546,86.1717396976035
2026-01-29,73.84494105520113,64.40046141021696,83.5084516440023
2026-01-30,70.11161373518547,60.61817481989784,79.06183765787624
2026-01-31,67.27592417776657,58.38279517894627,77.1328300777113
2026-02-01,68.30972036463308,59.36755317482037,77.848118377212
2026-02-02,72.26854390546502,62.02674422089608,80.95353009969135
2026-02-03,77.87891969548849,68.4316997085313,88.04046337455355
2026-02-04,77.94510116634163,69.14259750961187,87.66275146075257
2026-02-05,75.25203722097018,65.79804875807184,84.87055139304526
2026-02-06,71.14521661480755,61.867357372559475,81.71173025048648
2026-02-07,67.99825537193051,58.49511787923886,78.51843620643402
2026-02-08,69.06534184703372,59.33980299441709,78.51669002243649
2026-02-09,73.24795804679002,63.2619291527076,82.65748609037027
2026-02-10,79.17092110445458,68.85545898383303,88.970083162697
2026-02-11,79.41682773219753,69.85469753466788,88.88806665687818
2026-02-12,76.69263316533761,67.7712984628829,85.52262816448395
2026-02-13,72.42789013527991,63.12122615302568,81.36744545294184
2026-02-14,69.12882929128682,60.55731763217608,78.51641020885808
2026-02-15,70.08828266139255,60.85684285049418,79.96353701669437
2026-02-16,74.11629046698175,63.932583610172365,84.18490396381384
2026-02-17,79.72801050939748,69.64686053660526,89.12875463654879
2026-02-18,79.50936933697196,69.63096219403549,88.49649879817414
2026-02-19,76.33641175993412,66.37093593213045,86.08196605038955
2026-02-20,71.85690116696047,62.37094859305759,81.67813277257639
2026-02-21,68.69759812552812,58.91588233400989,78.1745166558235
2026-02-22,70.1061861075631,60.095770182569055,79.49282835474507
2026-02-23,74.73412519862113,64.660118584928,84.38209091099517
2026-02-24,80.94220099012203,70.39784543757948,90.61949951002165
2026-02-25,81.22074678021498,71.2159406947894,91.66136401792643
2026-02-26,78.40135295543222,69.05041340991401,88.16449131474184
2026-02-27,74.07506296371994,64.56521621089354,84.13908006910437
2026-02-28,70.81092489214069,61.72374487707608,80.21339566155598
2026-03-01,71.79137548054426,61.98894830875167,80.87680823443603
